CASE_NUMBER,INSPECTOR,SERVICE_MANAGER,OPENDATE,CLOSEDATE,CASESTATUS,PROGRAM,DISPOSITION,gx_location,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,UNIT_NUMBER,ZIP,CENSUS_TRACT,APN,CASE_DESC
201422976.000,Mike Tran,Rachel Roberts   120E,11/18/2014,,OPEN,General,Under Investigation,"2505   CHANT CT, SAN JOSE CA 95122-1004",2505,,CHANT,CT,,95122-1004,5035.06,48643103,"INDEPENDENT LIVING HOME POSSIBLY OVERCROWDED, NO HOT WATER, ROTTING FOOD AND FLIES, GARAGE POSSIBLE FIRE HAZARD."
201422981.000,Dylan Maver,Rachel Roberts   120E,11/18/2014,,OPEN,General,Under Investigation,"898   HERMISTON DR, SAN JOSE CA 95136-1512",898,,HERMISTON,DR,,95136-1512,5120.05,45923034,"UNDERGROUND WATERMAIN REPLACED WITHOUT PERMITS, NO CO DETECTORS OR FIRE EXSTINGUISHER, GARBAGE DISPOSAL NOT WORKING, FRAMING IN GARAGE IS BOWING, OVERCROWDING 15+ TENANTS, RESIDENCE BEING USED AS A RECOVERY CENTER FOR THE CHURCH."
201422983.000,Carolyn Slezak,Rachel Roberts   120E,11/18/2014,,OPEN,Vacant Building,Under Investigation,"1699   CURTNER AV, SAN JOSE CA 95125-4921",1699,,CURTNER,AV,,95125-4921,5029.03,44609066,"VACANT PROPERTY, NOT MAINTAINED, VEGETATION OVERGROWN."
201422984.000,William Gerry,Rachel Roberts   120E,11/18/2014,,OPEN,General,Under Investigation,"661   GLENBURRY WY, SAN JOSE CA 95123-1318",661,,GLENBURRY,WY,,95123-1318,5120.27,46436044,GARAGE CONVERTED (OCCUPIED)
201422989.000,Joe Celio,Rachel Roberts   120E,11/18/2014,,OPEN,General,Under Investigation,"1570   HAMILTON AV, SAN JOSE CA 95125-4539",1570,,HAMILTON,AV,,95125-4539,5026.01,42946018,"Parking lot of fitness Evolution is trashed. Trash everywhere, smells like urine and feces from the people living in cars on the property. Unsafe and disgusting. CitySourced Issue ID# 132776"
201422999.000,Brigitte Marquis,Rachel Roberts   120E,11/19/2014,,OPEN,General,Under Investigation,"2918   SCOTTSDALE DR, SAN JOSE CA 95148-3532",2918,,SCOTTSDALE,DR,,95148-3532,5033.15,67311007,SHED IN R/Y IS BEING ALTERED/ENLARGED HAMMERING ALL NIGHT
201423000.000,Larry Ng,Debbie Morales   101E,11/19/2014,,OPEN,Multiple Family,Under Investigation,"1277   LEIGH AV, SAN JOSE CA 95126-4320",1277,,LEIGH,AV,,95126-4320,5022.01,28424010,HOLES ON SHOWER WALLS AND UNDER KITCHEN SINK OFTEN PLUMBING REPAIRS
201423022.000,Sharon Yamzon,Rachel Roberts   120E,11/19/2014,,OPEN,General,Under Investigation,"3023   CORAL CT, SAN JOSE CA 95121-2413",3023,,CORAL,CT,,95121-2413,5032.12,49902064,"GARAGE OCCUPIED, OVERGROWN VEGETATION F/Y"
201423035.000,Dennis Castro,Debbie Morales   101E,11/19/2014,,OPEN,Multiple Family,Under Investigation,"690 N 5TH ST, SAN JOSE CA 95112-3207",690,N,5TH,ST,,95112-3207,5011.01,24939038,313 BED BUGS
201423037.000,Dennis Castro,Debbie Morales   101E,11/19/2014,,OPEN,Multiple Family,Under Investigation,"463   WOOSTER AV, SAN JOSE CA 95116-1063",463,,WOOSTER,AV,,95116-1063,5014.01,24964025,"D23 BED BUGS, & ROACHES"
201423041.000,Dennis Castro,Debbie Morales   101E,11/19/2014,,OPEN,Multiple Family,Under Investigation,"94 S 24TH ST, SAN JOSE CA 95116-2302",94,S,24TH,ST,,95116-2302,5014.02,46733042,"ROACHES,TERMITES, CLOGGED PLUMBING IN BATHROOM, MOLD UNDER KITCHEN SINK, LEAKING SINK PIPES"
201423042.000,Loren Due,Debbie Morales   101E,11/19/2014,,OPEN,Multiple Family,Under Investigation,"5475   PROSPECT RD, SAN JOSE CA 95129-4861",5475,,PROSPECT,RD,,95129-4861,5062.02,37826016,"201 TOILET LEAKS,  HAS TO SHUT OF WATER SWITCH, CLOSET DOOR BROKEN"
201423043.000,Jess Medina,Debbie Morales   101E,11/19/2014,12/03/2014,CLOSED,Multiple Family,In compliance,"2952   MAGLIOCCO DR, SAN JOSE CA 95128-3068",2952,,MAGLIOCCO,DR,,95128-3068,5064.01,27908028,#11 CRACK IN CEILING DUE TO WATER LEAK CRACK ON KITCHEN & BATHROOM WALL***
201423047.000,Gary Muraoka,Debbie Morales   101E,11/20/2014,,OPEN,Multiple Family,Under Investigation,"4201   NORWALK DR, SAN JOSE CA 95129-1773",4201,,NORWALK,DR,,95129-1773,5062.03,29640005,TRASH DUMPSTERS OVERFLOWING ATTREACTING RODENTS. EMERGENCY EXIST SIGNS ARE HANGING BY WIRES.
201423058.000,Sharon Yamzon,Rachel Roberts   120E,11/20/2014,,OPEN,General,Under Investigation,"674   DAKOTA DR, SAN JOSE CA 95111-1203",674,,DAKOTA,DR,,95111-1203,5032.13,49752076,"DETACHED STRUCTURE BEING BUILT IN BACKYARD.  APPEARS TO BE A STUDIO, NO PERMITS AND WORKING LATE AT NIGHT."
201423060.000,James Young,Rachel Roberts   120E,11/20/2014,,OPEN,General,No violations found,"951   PALM ST, SAN JOSE CA 95110-3035",951,,PALM,ST,,95110-3035,5017.00,26439060,GARAGE BEING CONVERTED TO LIVING SPACE
201423061.000,James Young,Rachel Roberts   120E,11/20/2014,11/24/2014,CLOSED,General,No violations found,"1028   MARIANELLI CT, SAN JOSE CA 95112-1618",1028,,MARIANELLI,CT,,95112-1618,5001.00,24920079,"RE-ROOF, ADDING ROOMS INSIDE HOME AND TO BACK OF PROPERTY, CONSTRUCTION GOING ON IN THE EVENINGS"
201423072.000,Brigitte Marquis,Rachel Roberts   120E,11/20/2014,11/21/2014,CLOSED,General,Complaint Withdrawn,"3877   ASHRIDGE LN, SAN JOSE CA 95121-1403",3877,,ASHRIDGE,LN,,95121-1403,5033.33,67662053,GARAGE OCCIPIED AC UNIT IN WINDOW
201423073.000,James Young,Rachel Roberts   120E,11/20/2014,,OPEN,General,Complaint Withdrawn,"455   GREGORY ST, SAN JOSE CA 95126-3512",455,,GREGORY,ST,,95126-3512,5008.00,26416017,CONSTRUCTION W/O PERMITS ADDED PLASTIC ROOFING SHEETS W/O GUTTERS CAUSING WATER TO OVERFLOW INTO NEIGHBORING PROPERTIES
201423078.000,Paul Garcia,Debbie Morales   101E,11/20/2014,,OPEN,Multiple Family,Under Investigation,"5658   HOFFMAN CT, SAN JOSE CA 95118-3158",5658,,HOFFMAN,CT,,95118-3158,5119.15,56749014,UNIT 4.  GUTTERS/OVERHANG THROUGHOUT THE COMPLEX IS ROTTED.  WATER IS DRIPPING DOWN THE WALKWAY CAUSING A HAZARD.
201423083.000,Carolyn Slezak,Rachel Roberts   120E,11/20/2014,,OPEN,Vacant Building,Under Investigation,"735   SARATOGA AV, SAN JOSE CA 95129-2329",735,,SARATOGA,AV,,95129-2329,5062.04,38111116,UNSECURED VACANT HOUSE.
201423084.000,Joseph Hatfield,Rachel Roberts   120E,11/21/2014,,OPEN,General,Under Investigation,"2992   REMINGTON WY, SAN JOSE CA 95148-3031",2992,,REMINGTON,WY,,95148-3031,5033.25,65917041,OCCUPIED RV PARKED ON SIDE OF HOUSE
201423085.000,Jess Medina,Debbie Morales   101E,11/21/2014,,OPEN,Multiple Family,Under Investigation,"779   DELAND AV, SAN JOSE CA 95128-3215",779,,DELAND,AV,,95128-3215,5021.02,28237045,BATHROOM CEILING IS LEAKING AND NOW HAS MOLD
201423087.000,Carolyn Slezak,Rachel Roberts   120E,11/21/2014,,OPEN,Vacant Building,Under Investigation,"809   AUZERAIS AV 233, SAN JOSE CA 95126",809,,AUZERAIS,AV,233,95126,5019.00,26473014,VACANT BUILDING  HUD OWNED
201423094.000,Mike Tran,Rachel Roberts   120E,11/21/2014,,OPEN,General,Under Investigation,"2622   ALUM ROCK AV, SAN JOSE CA 95116-2621",2622,,ALUM ROCK,AV,,95116-2621,5040.02,48443114,MINI MARKET GRAFFITI
201423095.000,Loren Due,Debbie Morales   101E,11/21/2014,12/03/2014,CLOSED,Multiple Family,No violations found,"1080   ROEWILL DR, SAN JOSE CA 95117-3234",1080,,ROEWILL,DR,,95117-3234,5063.05,29917011,BED BUGS IN BEDROOM
201423101.000,Oscar Carrillo,Rachel Roberts   120E,11/21/2014,,OPEN,General,Under Investigation,"3248   LANDESS AV, SAN JOSE CA 95132-1230",3248,,LANDESS,AV,,95132-1230,5044.11,09222185,BUILT WALL IN LIVING ROOM
201423104.000,Larry Ng,Debbie Morales   101E,11/21/2014,,OPEN,Multiple Family,Under Investigation,"2020   SOUTHWEST EX, SAN JOSE CA 95126",2020,,SOUTHWEST,EX,,95126,5022.01,28424006,"BLD 3 APT 23 RATS IN THE APT. ,COCKROACHES, WATER LEAKING FROM LIGHT FIXTURE IN BEDROOM,"
201423105.000,Iman Abouazra,Debbie Morales   101E,11/21/2014,,OPEN,Multiple Family,Under Investigation,"2950   STORY RD, SAN JOSE CA 95127-3915",2950,,STORY,RD,,95127-3915,5035.10,48803001,"MOLD IN BATHROOM BROKEN SHOWER ENCLOSURE DEFECTIVE BATHROOM LIGHT FIXTURE LEAK UNDER BATHROOM SINK, DEFECTIVE KITCHEN OUTLETS LOCATED IN THE REFRIG DEFECTIVE KITCHEN AND LIVING ROOM WINDOWS"
201423107.000,William Gerry,Rachel Roberts   120E,11/21/2014,,OPEN,General,Under Investigation,"7342   GLENVIEW DR, SAN JOSE CA 95120-0000",7342,,GLENVIEW,DR,,95120-0000,5119.09,58366018,GRADING THE HILLSIDE TO INSTALL A RETAINING WALL W/O PERMTS
201423108.000,James Young,Rachel Roberts   120E,11/21/2014,,OPEN,General,In compliance,"640 E HEDDING ST, SAN JOSE CA 95112-1504",640,E,HEDDING,ST,,95112-1504,5001.00,24912090,INSTALLED UNPERMITTED ELECTRICAL & REAR OF SFR FOR FLOODLIGHT THAT SHINES INTO NEIGHBORING PROPERTIES.
201423110.000,Dylan Maver,Rachel Roberts   120E,11/21/2014,,OPEN,General,Under Investigation,"1407   BRYAN AV, SAN JOSE CA 95118-1815",1407,,BRYAN,AV,,95118-1815,5030.03,45120031,REMODELING BATHROOM WITHOUT PERMITS (ELECTRICAL & PERMITS)
201423112.000,David Pieruccini,Peter Nwokolo    063E,11/21/2014,12/03/2014,CLOSED,CDBG,No violations found,"1414   MCQUESTEN DR D, SAN JOSE CA 95122-4108",1414,,MCQUESTEN,DR,D,95122-4108,5031.10,47765078,SECURITY BARS INSTALLED ON WINDOWS - NO PERMITS
201423117.000,Jason Gibilisco,**  Not Assigned **,11/24/2014,,OPEN,General,Under Investigation,"154   PARK ELLEN DR, SAN JOSE CA 95136-2515",154,,PARK ELLEN,DR,,95136-2515,5120.21,68517050,OPERATING AN UNPERMITTED BOARDING HOUSE.  A FEW RESIDENTS STAY MONTHLY AND A FEW STAY WEEKLY.  THIS HAS BEEN AN ONGOING PROBLEM.  LARGE AMOUNT OF HOUSEHOLD GARBAGE IN THE  BACK YARD.
201423135.000,Larry Ng,Debbie Morales   101E,11/24/2014,,OPEN,Multiple Family,Under Investigation,"1559   ALTA GLEN DR, SAN JOSE CA 95125-4419",1559,,ALTA GLEN,DR,,95125-4419,5023.01,42948034,"MOLD MASTERBEDROOM CLOSET/HALLROOM, BATHROOM LEAKING SHOWER HEAD CEILING IN BATHROOM"
201423141.000,Carolyn Slezak,Rachel Roberts   120E,11/24/2014,,OPEN,General,Under Investigation,"3956   VIA SALICE, SAN JOSE CA 95130-0000",3956,,VIA SALICE,,,95130-0000,5066.03,40411020,FULL REMODEL W/O PERMITS RE-ROOF
201423143.000,Dylan Maver,Rachel Roberts   120E,11/24/2014,,OPEN,General,Under Investigation,"4380   INDIGO DR, SAN JOSE CA 95136-1937",4380,,INDIGO,DR,,95136-1937,5120.05,46211017,BUILDING 2ND  STRUCTURE IN B/Y  W/O PERMITS
201423145.000,William Gerry,Rachel Roberts   120E,11/24/2014,,OPEN,General,Under Investigation,"4427   DULCEY DR, SAN JOSE CA 95136-2132",4427,,DULCEY,DR,,95136-2132,5120.19,46235048,GARAGE CONVERTED INTO LIVING SPACE.  DINING ROOM HAS WALLS PUT UP.  ROOM ALSO ADDED TO THE BACK OF ROOM
201423148.000,Dylan Maver,Rachel Roberts   120E,11/24/2014,,OPEN,General,Under Investigation,"1884   CURTNER  AV, SAN JOSE CA",1884,,CURTNER,AV,,,0000/00,,MASSAGE USE AT NAIL/HAIR SALON. MASSAGE ROOMS ADDED WITHOUT PERMIT.
201423150.000,Loren Due,Debbie Morales   101E,11/24/2014,,OPEN,Multiple Family,Under Investigation,"4680   HAMILTON AV, SAN JOSE CA 95130-1728",4680,,HAMILTON,AV,,95130-1728,5066.01,30710053,FIRE DAMAGE IN ONE OF THE UNITS
201423154.000,Steve Barnett,Debbie Morales   101E,11/24/2014,12/03/2014,CLOSED,Multiple Family,Complaint Withdrawn,"598 S 9TH ST, SAN JOSE CA 95112-3752",598,S,9TH,ST,,95112-3752,5016.00,47229012,"APT #3 ROACH INFESTED, OVEN IN DISREPAIR"
201423160.000,William Gerry,Rachel Roberts   120E,11/24/2014,,OPEN,General,Under Investigation,"678   GLENBURRY WY, SAN JOSE CA 95123-1317",678,,GLENBURRY,WY,,95123-1317,5120.27,46436012,"RV OCCUPIED ON THE DRIVEWAY, 2 FRONT WINDOWS BROKEN"
201423167.000,Joseph Hatfield,Rachel Roberts   120E,11/25/2014,,OPEN,General,Under Investigation,"14020   DIAMOND AV, SAN JOSE CA 95127-4113",14020,,DIAMOND,AV,,95127-4113,5035.08,64702001,FRONT FENCE IS OVER 6 FT HIGH CREATING A SIGHT OBSTRUCTION BLOCKING ON COMING TRAFFIC
201423177.000,Larry Ng,Debbie Morales   101E,11/25/2014,,OPEN,Multiple Family,Under Investigation,"1566   STOKES ST, SAN JOSE CA 95126-4328",1566,,STOKES,ST,,95126-4328,5022.01,28427031,"APT #1- GARBAGE HOUSE-  BINS AND BOXES BLOCKING THE WINDOW AND GO TO THE CEILING, ONE OF THE BEDROOMS IS FILLED WITH BOXES, PORCH FILLED WITH DEBRIS. GARAGE IS FILLED."
201423181.000,James Young,Rachel Roberts   120E,11/25/2014,,OPEN,General,Under Investigation,"625 N 6TH ST, SAN JOSE CA 95112-3240",625,N,6TH,ST,,95112-3240,5011.01,24939022,CONSTRUCTION OCCURRING OUTSIDE OF SCOPE OF PERMIT. ENTIRE BLDG DEMO'D EXCEPT FACADE CREATING PUBLIC SAFETY HAZARD.
201423185.000,Oscar Carrillo,Rachel Roberts   120E,11/26/2014,,OPEN,General,Under Investigation,"1020   BERRYESSA RD, SAN JOSE CA 95133",1020,,BERRYESSA,RD,,95133,5043.18,25413122,"Several RVs, trailers, and vehicles being used for housing and a 40 foot storage container bin being used as an auto repair shop on a vacant parcel"
201423186.000,Dylan Maver,Rachel Roberts   120E,11/26/2014,,OPEN,General,Under Investigation,"1543   DARLENE AV, SAN JOSE CA 95125-4728",1543,,DARLENE,AV,,95125-4728,5030.01,43928015,ADDITION TO REAR OF PROPERTY W/O PERMITS
201423187.000,Gary Muraoka,Debbie Morales   101E,11/26/2014,12/02/2014,CLOSED,Multiple Family,Duplicate,"349 S KIELY BL, SAN JOSE CA 95129-1773",349,S,KIELY,BL,,95129-1773,5062.03,29640004,"UNIT A207 & A307 EXTERIOR WALLS OF THIS UNIT WERE REMOVED, AND MOLD REMEDIATION WORK PERFORMED BETWEEN FEBRUARY 2014 AND AUGUST 2014..W/O PERMITS***"
201423188.000,James Young,Rachel Roberts   120E,11/26/2014,,OPEN,General,No violations found,"355 N 11TH ST, SAN JOSE CA 95112-3331",355,N,11TH,ST,,95112-3331,5012.00,24952050,REMOVING CEMENT (FOUNDATION)  AND BUILDING STRUCTURE IN THE BACK YARD WITHOUT PERMITS
201423196.000,Mike Tran,Rachel Roberts   120E,11/26/2014,,OPEN,General,Under Investigation,"1647 E SAN FERNANDO ST, SAN JOSE CA 95116-2422",1647,E,SAN FERNANDO,ST,,95116-2422,5036.02,48115109,OPERATING W/AN EXPIRED BLD PERMIT PEOPLE ARE LIVING ON PREMISES W/OPEN LIFE SAFTEY ITEMS
201423202.000,**Not Assigned **,**Not Assigned **,11/26/2014,11/26/2014,CLOSED,Special,Other,"1893   DIAMENTE CT, SAN JOSE CA 95116-1558",1893,,DIAMENTE,CT,,95116-1558,5037.07,48159002,SOFA CHAIR WAS REMOVED ON 11/12/14
201423214.000,Sharon Yamzon,Rachel Roberts   120E,12/01/2014,,OPEN,General,,"1542   LITTLE ORCHARD ST, SAN JOSE CA 95110-3503",1542,,LITTLE ORCHARD,ST,,95110-3503,5031.21,43422039,"3 OCCUPIED TRAILERS IN BACK YARD, OCCUPIED SHED. PORTA POTTY IN BACK YARD USED BY TENANTS CAUSING VERY BAD SMELL."
201423224.000,Gwendolyn Lum-Duffy,Debbie Morales   101E,12/01/2014,,OPEN,Multiple Family,Under Investigation,"5190   MONTEREY RD, SAN JOSE CA 95111-4381",5190,,MONTEREY,RD,,95111-4381,5120.42,68429011,"UNIT HAS BED BUGS, MOLD, KITCHEN SINK LEAKS AN NOT WORKING PROPERLY, AND A/C NOT WORKING WITH MOLD ON VENT."
201423231.000,Dylan Maver,Rachel Roberts   120E,12/01/2014,,OPEN,General,Under Investigation,"3982   STARVIEW DR, SAN JOSE CA 95124-2624",3982,,STARVIEW,DR,,95124-2624,5027.02,42101068,"REMODELING INSIDE, MOVING WALLS, ELECTRICAL PLUMBING"
201423232.000,Mike Tran,Rachel Roberts   120E,12/01/2014,,OPEN,General,Under Investigation,"1853   NAPLES DR, SAN JOSE CA 95122-1918",1853,,NAPLES,DR,,95122-1918,5035.04,48619067,3 SHEDS IN THE BACK YARD OCCUPIED
201423236.000,Joe Celio,Rachel Roberts   120E,12/01/2014,,OPEN,General,Under Investigation,"399   HULL AV, SAN JOSE CA 95125-1552",399,,HULL,AV,,95125-1552,5018.00,26447067,"ADDED ONTO BACK OF PROPERTY, ATTIC CONVERTED AND NOW OCCUPIED, GARAGE CONVERTED AND OCCUPIED"
201423237.000,Roger Beaudoin,Debbie Morales   101E,12/01/2014,12/02/2014,CLOSED,Multiple Family,Complaint Withdrawn,"790   LENZEN AV, SAN JOSE CA 95126-2733",790,,LENZEN,AV,,95126-2733,5006.00,26103054,BED BUGS***
201423247.000,Mike Tran,Rachel Roberts   120E,12/01/2014,,OPEN,General,Under Investigation,"1620 S KING RD, SAN JOSE CA 95122-2224",1620,S,KING,RD,,95122-2224,5035.04,48613014,ILLEGAL EXCAVATION AND CONSTRUCTION WITHOUT PERMITS INSIDE GARAGE
201423253.000,Jason Gibilisco,**  Not Assigned **,12/01/2014,,OPEN,General,Under Investigation,"398   BECKHAM DR, SAN JOSE CA 95123-5604",398,,BECKHAM,DR,,95123-5604,5120.31,68933066,"REMODELING INTERIOR EXTERIOR, FRAMING ELECTRICAL DRY WALL"
201423262.000,Dennis Castro,Debbie Morales   101E,12/02/2014,,OPEN,Multiple Family,Under Investigation,"230 N 13TH ST, SAN JOSE CA 95112-3458",230,N,13TH,ST,,95112-3458,5012.00,46704014,HOT WATER RUNS OUT BECAUSE OF NEW SMALLER WATER HEATER.
201423268.000,David Pieruccini,Peter Nwokolo    063E,12/02/2014,,OPEN,CDBG,Under Investigation,"1355   MCQUESTEN DR D, SAN JOSE CA 95122-4113",1355,,MCQUESTEN,DR,D,95122-4113,5031.10,47765008,INSTALLED SECURITY BARS ON WINDOWS WITH NO PERMIT
201423273.000,Gwendolyn Lum-Duffy,Debbie Morales   101E,12/02/2014,,OPEN,Multiple Family,Under Investigation,"5210   MONTEREY RD, SAN JOSE CA 95111-0000",5210,,MONTEREY,RD,,95111-0000,5120.42,09709048,BEDBUGS AND MOLD IN BATHROOM AND KITCHEN
201423275.000,Steve Barnett,Debbie Morales   101E,12/02/2014,,OPEN,Multiple Family,Under Investigation,"705 S 8TH ST, SAN JOSE CA 95112-3865",705,S,8TH,ST,,95112-3865,5016.00,47224045,344 MARGARET OVERCROWDING 6 PEOPLE IN UNIT
201423276.000,Angelica Garcia,Debbie Morales   101E,12/02/2014,,OPEN,Multiple Family,Under Investigation,"438 S BUENA VISTA AV, SAN JOSE CA 95126-3209",438,S,BUENA VISTA,AV,,95126-3209,5020.02,27718060,OVERFLOWING DUMPSTER ON STREET FOR TWO WEEKS.  P/U MONDAY.  REFRIGERATOR IN DUMSTER.
201423277.000,Loren Due,Debbie Morales   101E,12/02/2014,,OPEN,Multiple Family,Under Investigation,"831   OPAL DR, SAN JOSE CA 95117-2647",831,,OPAL,DR,,95117-2647,5063.02,29943056,DETERIORATED STAIRCASE
201423278.000,James Young,Rachel Roberts   120E,12/02/2014,,OPEN,General,Under Investigation,"97 N 10TH ST, SAN JOSE CA 95112-0000",97,N,10TH,ST,,95112-0000,5010.00,,OVERFLOWING TRASH CANS
201423279.000,Joseph Hatfield,Rachel Roberts   120E,12/02/2014,,OPEN,General,No violations found,"73   PLEASANT RIDGE AV, ALUM ROCK CA 95127-2346",73,,PLEASANT RIDGE,AV,,95127-2346,5039.03,48418021,DISH AND SURVIELLANCE CAMERAS INSTALLED WITH ELECTRICAL HARDWIRING WITHOUT PERMITS
201423288.000,Joseph Hatfield,Rachel Roberts   120E,12/02/2014,,OPEN,General,Under Investigation,"3197   NAPA DR, SAN JOSE CA 95148-2027",3197,,NAPA,DR,,95148-2027,5033.23,64925027,PROPERTY HAS BEEN WITHOUT WATER SINCE AT LEAST THE END OF OCTOBER; PROPERTY IS OCCUPIED.
201423289.000,Roger Beaudoin,Debbie Morales   101E,12/02/2014,,OPEN,Multiple Family,Under Investigation,"940 W TAYLOR ST, SAN JOSE CA 95126-1849",940,W,TAYLOR,ST,,95126-1849,5006.00,26108071,"#3- HEATER IN DISREPAIR, RP REFUSES TO FIX, ELECTRICAL WIRES ARE SHORTED CONNECTING TO THE HEATER."
201423296.000,Sharon Yamzon,Rachel Roberts   120E,12/02/2014,,OPEN,General,Under Investigation,"211   SOUTHSIDE DR, FRANKLIN-MCKINLEY CA 95111-3227",211,,SOUTHSIDE,DR,,95111-3227,5032.04,49722009,LIVING IN GARAGE CONVERTED W/O PERMITS BATHROOM
201423299.000,Carolyn Slezak,Rachel Roberts   120E,12/02/2014,,OPEN,General,Under Investigation,"1089   MORRIS CT, SAN JOSE CA 95126-1027",1089,,MORRIS,CT,,95126-1027,5052.03,23016052,REAR GARAGE OCCUPIED
201423300.000,Carolyn Slezak,Rachel Roberts   120E,12/02/2014,,OPEN,General,Duplicate,"1091   MORRIS CT, SAN JOSE CA 95126-1027",1091,,MORRIS,CT,,95126-1027,5052.03,23016052,GARAGE OCCUPIED  df 12/3
201423302.000,Iman Abouazra,Debbie Morales   101E,12/02/2014,12/03/2014,CLOSED,Multiple Family,Wrong address,"173   NANCY LN, SAN JOSE CA 95127-2830",173,,NANCY,LN,,95127-2830,5040.01,48423007,"#6 ROOMS IN UNIT ARE INFESTED WITH COCKROACHES IN KITCHEN AND COMMON PROPERTIES, BEDS WERE INFESTED WITH BEDBUGS."
201423303.000,James Young,Rachel Roberts   120E,12/02/2014,,OPEN,General,Under Investigation,"642 E JULIAN ST, SAN JOSE CA 95112-1802",642,E,JULIAN,ST,,95112-1802,5012.00,46704003,CITRUS TREE SIGHT OBSTRUCTION
201423306.000,Joseph Hatfield,Rachel Roberts   120E,12/03/2014,,OPEN,General,Under Investigation,"3355   HICKERSON DR, SAN JOSE CA 95127-4210",3355,,HICKERSON,DR,,95127-4210,5035.08,64708048,DECK CONSTRUCTED W/O PERMITS IN REAR YARD PGE LINE IS HITTING THE GUTTER
201423316.000,James Young,Rachel Roberts   120E,12/03/2014,,OPEN,General,Under Investigation,"868 S 2ND ST, SAN JOSE CA 95112-5823",868,S,2ND,ST,,95112-5823,5016.00,47217047,"CONSTRUCTION GOING ONTO BACK OF PROPERTY, HUGE AMOUNTS OF DEBRIS PILED TO ROOF IN BACKYARD"
201423317.000,Dylan Maver,Rachel Roberts   120E,12/03/2014,,OPEN,General,Under Investigation,"2386   LINCOLN VILLAGE DR, SAN JOSE CA 95125-2748",2386,,LINCOLN VILLAGE,DR,,95125-2748,5030.01,43962038,GARAGE CONVERTED AND USED FOR LIVING PURPOSE
201423319.000,Iman Abouazra,Debbie Morales   101E,12/03/2014,,OPEN,Multiple Family,Under Investigation,"173   NANCY LN, SAN JOSE CA 95127-2830",173,,NANCY,LN,,95127-2830,5040.01,48423007,"ROACHES, BED BUGS"
201423321.000,James Young,Rachel Roberts   120E,12/03/2014,,OPEN,General,Under Investigation,"61   WILSON AV, SAN JOSE CA 95126-3144",61,,WILSON,AV,,95126-3144,5003.00,26133031,BASEMENT CONVERTED AND OCCUPIED
201423322.000,Loren Due,Debbie Morales   101E,12/03/2014,,OPEN,Multiple Family,Under Investigation,"790   SARATOGA AV, SAN JOSE CA 95129-2403",790,,SARATOGA,AV,,95129-2403,5063.04,29937024,R103- RAT INFESTATION AND CARPET IS DETERIORATED.
201423323.000,Iman Abouazra,Debbie Morales   101E,12/03/2014,,OPEN,Multiple Family,Under Investigation,"173   NANCY LN, SAN JOSE CA 95127-2830",173,,NANCY,LN,,95127-2830,5040.01,48423007,"APT UINIT HAS BED BUGS, ROACHES AND CARPET IS WORN.  MANAGER HAS IGNORED CP'S CONCERNS"
201423332.000,Peter Nwokolo,Diane Buchanan     014E,12/03/2014,,OPEN,CDBG,Under Investigation,"968 E SANTA CLARA ST, SAN JOSE CA",968,E,SANTA CLARA,ST,,,0000.00,,"#A- ROOF IS LEAKING WATER, SHEET ROCK FROM THE CEILING FELL OFF AND THE FRAME IS EXPOSED ON THE INSIDE."
